                neutronCell  |              bankid  |                                      ctof bank ID  |  400   |                  Di  
                neutronCell  |              paddle  |                                     paddle number  |    1   |                  Di  
                neutronCell  |                ADCU  |                                      ADC Upstream  |    2   |                  Di  
                neutronCell  |                ADCD  |                                    ADC Downstream  |    3   |                  Di  
                neutronCell  |                TDCU  |                                      TDC Upstream  |    4   |                  Di  
                neutronCell  |                TDCD  |                                    TDC Downstream  |    5   |                  Di  
                neutronCell  |               ADCUu  |                            ADC Upstream Unsmeared  |    6   |                  Di  
                neutronCell  |               ADCDu  |                          ADC Downstream Unsmeared  |    7   |                  Di  
                neutronCell  |               TDCUu  |                            TDC Upstream Unsmeared  |    8   |                  Di  
                neutronCell  |               TDCDu  |                          TDC Downstream Unsmeared  |    9   |                  Di  
                neutronCell  |                hitn  |                                        hit number  |   99   |                  Di  
